Airline,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Month,WeekDay,Day
Air India,Delhi,Banglore,DEL → RPR → NAG → BOM → COK,21:25,19:15 28 Jun,2h 40m,3 stops,No info,10703,5,Friday,3.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,13:00,09:20 16 May,6h,1 stop,No info,9663,6,Wednesday,12.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,10031,3,Sunday,24.0
Jet Airways,Banglore,Banglore,BLR → BOM → DEL,08:20,00:45 02 Mar,12h 5m,1 stop,No info,35185,5,Thursday,9.0
IndiGo,Banglore,Hyderabad,BLR → DEL,19:35,22:50,1h 30m,non-stop,In-flight meal not included,4823,5,Friday,24.0
SpiceJet,Kolkata,Kolkata,CCU → BLR,14:45,11:25,2h 20m,non-stop,No info,4174,6,Thursday,27.0
IndiGo,Mumbai,Banglore,BOM → HYD,20:25,10:45,24h 40m,non-stop,In-flight meal not included,4049,6,Sunday,9.0
Air India,Kolkata,Banglore,CCU → BOM → HBX → BLR,16:50,18:20 02 Apr,25h 30m,2 stops,No info,7893,4,Monday,1.0
Air India,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 13 Jun,20h 55m,1 stop,No info,7480,6,Wednesday,12.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,13:55,23:25,9h 30m,1 stop,In-flight meal not included,11134,3,Sunday,
IndiGo,Delhi,Cochin,DEL → COK,14:30,17:35,3h 5m,non-stop,No info,4729,3,Wednesday,27.0
IndiGo,Chennai,Kolkata,MAA → CCU,13:20,15:35,2h 15m,non-stop,No info,6297,3,Friday,15.0
Air India,Delhi,Cochin,DEL → HYD → BOM → COK,13:15,07:40 28 Jun,18h 25m,2 stops,No info,13547,6,Thursday,27.0
IndiGo,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,2754,5,Sunday,12.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,08:45,19:15,10h 30m,1 stop,No info,8476,5,Saturday,18.0
IndiGo,Kolkata,New Delhi,CCU → BLR,06:40,16:55,27h 45m,non-stop,No info,5224,3,Saturday,9.0
Jet Airways,Delhi,New Delhi,DEL → BHO → BOM → COK,08:00,12:35,10h 25m,2 stops,No info,14441,3,Wednesday,6.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,21:25,11:25 13 Mar,14h,1 stop,No info,13817,3,Tuesday,12.0
IndiGo,Banglore,Cochin,BLR → DEL,14:40,11:20,3h 10m,non-stop,No info,4823,6,Saturday,1.0
SpiceJet,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,1965,5,Saturday,18.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,05:45,10:25,4h 40m,1 stop,In-flight meal not included,9134,3,Friday,15.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,07:30,08:15 16 May,13h 30m,1 stop,No info,13941,4,Tuesday,9.0
SpiceJet,Mumbai,Banglore,BOM → HYD,14:05,07:15,19h 15m,non-stop,In-flight meal not included,2753,5,Monday,6.0
SpiceJet,Banglore,Delhi,BLR → DEL,21:10,00:05 07 Jun,2h 55m,non-stop,No check-in baggage included,3257,6,Thursday,6.0
IndiGo,Banglore,New Delhi,BLR → DEL,10:20,01:00 25 May,7h 55m,non-stop,No info,3419,3,Thursday,21.0
Jet Airways,Kolkata,Banglore,CCU → GAU → BLR,08:25,17:35,7h 55m,1 stop,No info,5608,6,Thursday,6.0
Jet Airways,Banglore,Banglore,BLR → DEL,20:20,22:00,24h,non-stop,No info,8016,4,Monday,1.0
IndiGo,Banglore,Cochin,BLR → DEL,21:05,13:00,4h 40m,non-stop,No info,6144,3,Thursday,21.0
IndiGo,Delhi,Delhi,DEL → BOM → COK,08:20,01:30 10 Jun,3h,1 stop,No info,5458,4,Saturday,27.0
SpiceJet,Banglore,Cochin,BLR → DEL,20:25,00:05 13 Apr,5h 5m,non-stop,No info,5621,6,Saturday,1.0
Air India,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,4651,4,Saturday,
IndiGo,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423,6,Saturday,15.0
Air Asia,Delhi,Banglore,DEL → BLR → COK,16:30,22:15,27h 20m,1 stop,In-flight meal not included,13774,5,Friday,24.0
Jet Airways,Banglore,Delhi,BLR → DEL,23:30,22:50,2h 50m,non-stop,No info,3502,4,Tuesday,9.0
SpiceJet,Kolkata,Banglore,CCU → BLR,09:50,00:40 28 Mar,13h 25m,non-stop,No info,3847,6,Sunday,9.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 02 Apr,7h 30m,1 stop,No info,13364,4,Monday,1.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,22:15,19:15,2h 35m,1 stop,No info,9526,5,Wednesday,15.0
Air India,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,7931,3,Wednesday,6.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,15:15,15:30,2h 30m,1 stop,No info,14486,6,Thursday,27.0
SpiceJet,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543,5,Monday,27.0
SpiceJet,Chennai,New Delhi,MAA → CCU,05:45,10:35,26h 30m,non-stop,In-flight meal not included,3597,3,Saturday,9.0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 07 Jun,16h 45m,1 stop,No info,12692,6,Thursday,6.0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,In-flight meal not included,12384,5,Thursday,9.0
Jet Airways,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,8040,4,Monday,1.0
Air India,Delhi,Hyderabad,DEL → GOI → BOM → COK,01:40,19:15 19 May,1h 30m,2 stops,No info,10441,6,Monday,3.0
Air India,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,6674,4,Tuesday,9.0
Vistara,Banglore,Banglore,BLR → DEL,16:45,22:15,23h 30m,non-stop,No info,4878,5,Sunday,12.0
Air India,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 28 Mar,27h 20m,1 stop,No info,5117,3,Wednesday,27.0
Jet Airways,Delhi,Cochin,DEL → IXC → BOM → COK,14:25,04:25 28 Mar,3h 15m,2 stops,No info,9296,6,Monday,3.0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,No info,7038,5,Saturday,18.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 13 Jun,22h 10m,,No info,12739,6,Wednesday,12.0
IndiGo,Kolkata,Cochin,CCU → BLR,05:55,08:20,25h 45m,non-stop,No info,4778,3,Sunday,3.0
Jet Airways,Kolkata,Cochin,CCU → DEL → BLR,10:00,23:35,11h,,In-flight meal not included,12692,5,Saturday,
Air India,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 02 May,23h 10m,2 stops,No info,11148,5,Wednesday,1.0
Air India,Banglore,New Delhi,BLR → BOM → UDR → DEL,06:45,16:30 16 Mar,33h 45m,2 stops,No info,10835,3,Monday,18.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,5177,4,Saturday,6.0
Jet Airways,Banglore,Hyderabad,BLR → BOM → DEL,02:30,05:05 16 Mar,1h 30m,1 stop,No info,13555,3,Friday,1.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,14h 20m,1 stop,No info,10197,5,Thursday,9.0
IndiGo,Banglore,Delhi,BLR → DEL,23:30,02:20 19 May,2h 50m,non-stop,No info,4591,5,Saturday,18.0
SpiceJet,Kolkata,Cochin,CCU → BLR,05:30,00:40 16 May,22h 55m,non-stop,No info,3841,5,Tuesday,21.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:30,23:35,7h 5m,1 stop,In-flight meal not included,8586,5,Wednesday,15.0
Jet Airways,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 28 Jun,16h 35m,2 stops,No info,14300,6,Thursday,27.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,10:35,19:00 13 Jun,14h 55m,1 stop,No info,10262,6,Thursday,6.0
IndiGo,Mumbai,Banglore,BOM → HYD,14:05,13:30,6h 40m,non-stop,In-flight meal not included,2754,5,Friday,24.0
Jet Airways,Delhi,Hyderabad,DEL → JAI → BOM → COK,06:25,04:25 22 May,1h 30m,2 stops,No info,15129,5,Friday,
IndiGo,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1h 30m,non-stop,No info,2227,3,Monday,18.0
SpiceJet,Banglore,Cochin,BLR → DEL,10:00,12:20,18h 25m,non-stop,In-flight meal not included,4423,5,Tuesday,21.0
Jet Airways,Banglore,Banglore,BLR → BOM → DEL,16:50,18:25 13 Mar,18h 20m,1 stop,No info,11087,6,Wednesday,12.0
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,22:00,04:25 10 Jun,21h 15m,2 stops,No info,13292,6,Thursday,6.0
IndiGo,Banglore,Banglore,BLR → DEL,10:10,13:00,2h 45m,non-stop,No info,3943,3,Sunday,24.0
Multiple carriers,Delhi,Cochin,DEL → IXU → BOM → COK,17:50,01:30 16 Jun,7h 40m,2 stops,No info,18485,6,Saturday,15.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,15078,3,Wednesday,6.0
Air India,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,07:40 25 Jun,20h 45m,2 stops,No info,11753,6,Monday,24.0
IndiGo,Banglore,New Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,7303,3,Saturday,9.0
Jet Airways,Delhi,Banglore,DEL → ATQ → BOM → COK,08:25,04:25 28 Jun,20h 15m,2 stops,In-flight meal not included,16263,6,Wednesday,12.0
Air Asia,Kolkata,Banglore,CCU → BLR,22:50,01:20 22 Mar,2h 30m,non-stop,No info,3782,3,Thursday,21.0
Air India,Delhi,New Delhi,DEL → HYD → MAA → COK,06:10,09:25 10 May,2h 45m,2 stops,No info,9417,3,Friday,1.0
IndiGo,Delhi,Cochin,DEL → HYD → COK,05:30,16:10,7h 5m,1 stop,In-flight meal not included,6442,6,Monday,24.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,21:05,01:30 04 Jun,3h 15m,1 stop,No info,6795,6,Sunday,9.0
Multiple carriers,Delhi,Banglore,DEL → HYD → COK,16:40,18:10,7h 35m,1 stop,No info,9646,5,Monday,6.0
IndiGo,Delhi,Cochin,DEL → HYD → MAA → COK,15:00,21:20,28h,2 stops,In-flight meal not included,7682,6,Sunday,9.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,14:00,04:25 13 Jun,14h 25m,1 stop,In-flight meal not included,14714,6,Monday,3.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,18:05,22:35,5h 25m,1 stop,No info,14781,5,Monday,6.0
Air India,Mumbai,Cochin,BOM → AMD → ISK → HYD,07:30,14:50,11h 30m,2 stops,No info,11972,5,Friday,24.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,11:40,08:15 16 Mar,20h 35m,1 stop,In-flight meal not included,9134,3,Friday,15.0
Air India,Banglore,Banglore,BLR → DEL,09:00,19:45,2h 25m,non-stop,No check-in baggage included,7486,4,Thursday,18.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,07:30,21:00,13h 30m,1 stop,No info,6416,6,Saturday,1.0
IndiGo,Banglore,New Delhi,BLR → DEL,23:30,02:20 13 Mar,2h 50m,non-stop,No info,4777,3,Saturday,9.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No info,13587,6,Thursday,6.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,16:45,20:45,16h 10m,1 stop,No info,9899,5,Thursday,9.0
IndiGo,Delhi,New Delhi,DEL → HYD → COK,20:30,12:10,2h 50m,1 stop,No check-in baggage included,5298,3,Monday,18.0
Vistara,Kolkata,Cochin,CCU → DEL → BLR,05:55,23:25 13 Jun,37h 20m,1 stop,No info,8610,6,Sunday,9.0
Vistara,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,non-stop,No info,6216,6,Friday,21.0
Vistara,Banglore,New Delhi,BLR → DEL,19:40,22:20,2h 40m,non-stop,No info,7450,3,Saturday,9.0
Jet Airways,Delhi,Cochin,DEL → IDR → BOM → COK,09:00,04:25 28 Mar,19h 25m,2 stops,In-flight meal not included,11664,6,Sunday,9.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 28 May,12h 30m,1 stop,No info,7198,5,Monday,
GoAir,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898,6,Monday,24.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,12192,6,Sunday,9.0
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 28 Mar,23h 30m,2 stops,No info,8656,3,Wednesday,27.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,18:35,12:35 04 Apr,6h 55m,1 stop,No info,5177,5,Thursday,9.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,9794,5,Tuesday,21.0
Air India,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 04 Mar,26h,2 stops,No info,13442,3,Sunday,3.0
IndiGo,Mumbai,Hyderabad,BOM → HYD,06:20,07:45,1h 25m,non-stop,No info,3342,3,Monday,18.0
Jet Airways,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,9536,3,Wednesday,6.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,09:10,12:35,25h 55m,1 stop,No info,12192,5,Wednesday,15.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45 19 May,25h 50m,1 stop,In-flight meal not included,10844,5,Saturday,18.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,22:55,10:25 13 Mar,11h 30m,1 stop,No info,13817,3,Tuesday,12.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,11:00,19:00,3h 15m,1 stop,No info,9794,4,Thursday,18.0
IndiGo,Banglore,Cochin,BLR → DEL,05:10,01:00 25 May,13h 40m,non-stop,In-flight meal not included,3419,3,Wednesday,27.0
Vistara,Chennai,Cochin,MAA → CCU,16:00,09:20,20h 35m,non-stop,In-flight meal not included,3687,4,Monday,1.0
IndiGo,Delhi,Cochin,DEL → HYD → COK,06:50,22:30,15h 40m,1 stop,No info,6442,6,Sunday,9.0
Air India,Kolkata,Kolkata,CCU → MAA → BLR,09:30,14:35 25 May,2h 35m,1 stop,No info,6528,3,Friday,15.0
IndiGo,Delhi,Delhi,DEL → BOM → COK,08:20,01:30 25 Jun,3h,1 stop,In-flight meal not included,5684,5,Friday,3.0
SpiceJet,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649,4,Monday,1.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,19:45,19:45 28 Mar,24h,1 stop,In-flight meal not included,5963,3,Wednesday,27.0
Jet Airways,Delhi,Banglore,DEL → JAI → BOM → COK,23:30,19:00,8h 15m,2 stops,No info,13029,5,Monday,6.0
IndiGo,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4804,5,Wednesday,15.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,05:05,08:15 07 May,7h 5m,1 stop,No info,9663,6,Monday,3.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 22 May,12h 55m,1 stop,In-flight meal not included,8586,5,Tuesday,21.0
Jet Airways,Kolkata,Cochin,CCU → DEL → BLR,11:25,18:00 10 May,7h 35m,1 stop,No info,11467,6,Thursday,6.0
Vistara,Banglore,New Delhi,BLR → DEL,21:10,00:05 02 Mar,2h 55m,non-stop,No info,21730,3,Friday,1.0
IndiGo,Banglore,Cochin,BLR → DEL,06:20,19:45,37h 25m,non-stop,No info,4823,3,Wednesday,27.0
SpiceJet,Kolkata,Banglore,CCU → BLR,20:20,00:40 25 May,2h 35m,non-stop,No info,3841,5,Thursday,9.0
IndiGo,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,3943,6,Tuesday,18.0
Jet Airways,Mumbai,Hyderabad,BOM → HYD,09:10,11:50,1h 30m,non-stop,No info,4995,6,Monday,24.0
IndiGo,Delhi,Kolkata,DEL → BOM → COK,19:35,15:30,2h 20m,1 stop,No info,7048,6,Thursday,6.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,7408,6,Sunday,9.0
SpiceJet,Kolkata,Banglore,CCU → BLR,22:20,00:40 28 Mar,2h 20m,non-stop,No info,3847,3,Wednesday,27.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,04:55,19:00,14h 5m,1 stop,No info,9103,5,Wednesday,15.0
Jet Airways,Delhi,Banglore,DEL → JAI → BOM → COK,22:20,04:25 22 May,2h 20m,2 stops,No check-in baggage included,15129,3,Thursday,21.0
Vistara,Delhi,Cochin,DEL → COK,14:55,17:50,2h 55m,non-stop,No info,5586,3,Monday,18.0
IndiGo,Kolkata,New Delhi,CCU → BLR,05:50,00:50 16 Jun,6h 30m,non-stop,In-flight meal not included,4804,3,Saturday,9.0
Air India,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,07:40 10 Mar,25h 45m,2 stops,No info,14483,3,Saturday,9.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,16:55,12:25,2h 50m,1 stop,No info,26890,3,Sunday,24.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 19 May,8h 40m,1 stop,No info,13941,5,Saturday,18.0
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,07:35,22:30,4h 35m,1 stop,No info,6093,6,Wednesday,12.0
IndiGo,Mumbai,Cochin,BOM → HYD,16:00,18:25,9h 30m,non-stop,No info,3175,6,Thursday,6.0
SpiceJet,Kolkata,Cochin,CCU → BLR,11:45,00:40 07 Jun,16h 40m,non-stop,No info,3873,6,Thursday,27.0
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,20:25,18:00 25 May,21h 35m,1 stop,No info,14151,5,Friday,24.0
Air India,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,non-stop,No info,3100,5,Friday,24.0
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 16 Jun,26h 55m,2 stops,In-flight meal not included,10368,6,Saturday,15.0
SpiceJet,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,3873,6,Monday,3.0
Vistara,Banglore,New Delhi,BLR → AMD → DEL,06:40,10:25 02 Mar,27h 45m,1 stop,No info,12371,3,Friday,1.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 19 May,16h 50m,,In-flight meal not included,12373,5,Saturday,18.0
IndiGo,Banglore,Cochin,BLR → DEL,07:05,11:20,11h 55m,non-stop,No info,4823,5,Tuesday,21.0
Air India,Banglore,Kolkata,BLR → BOM → DEL,11:35,12:15,2h 25m,1 stop,No info,8714,6,Thursday,27.0
IndiGo,Banglore,Delhi,BLR → DEL,10:10,13:00,2h 50m,non-stop,No info,3943,5,Thursday,9.0
IndiGo,Banglore,New Delhi,BLR → DEL,23:30,02:20 22 Mar,2h 50m,non-stop,No info,4944,3,Sunday,24.0
Jet Airways,Banglore,Delhi,BLR → DEL,17:45,20:45,3h,non-stop,No info,7229,4,Friday,12.0
Jet Airways,Banglore,Banglore,BLR → DEL,21:25,08:45,2h 40m,non-stop,No info,6478,3,Friday,1.0
Multiple carriers,Delhi,Banglore,DEL → BOM → COK,21:10,13:20,7h 30m,1 stop,No info,29528,6,Thursday,6.0
Jet Airways,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,19644,5,Saturday,18.0
Air India,Chennai,Banglore,MAA → CCU,06:30,13:55,16h 55m,non-stop,No info,4667,3,Sunday,24.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,18:55,16:20 02 Apr,21h 25m,1 stop,In-flight meal not included,7064,4,Monday,1.0
Air India,Mumbai,Hyderabad,BOM → MAA → HYD,05:55,22:00,16h 5m,1 stop,No info,10366,3,Wednesday,6.0
SpiceJet,Kolkata,Hyderabad,CCU → BLR,07:10,19:40,1h 25m,non-stop,In-flight meal not included,3841,3,Monday,18.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,22:00,19:15,21h 15m,1 stop,No info,7997,5,Monday,27.0
Jet Airways,Delhi,Banglore,DEL → JAI → BOM → COK,10:20,19:00,2h 35m,2 stops,No info,13029,6,Wednesday,12.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,No info,14714,6,Saturday,1.0
SpiceJet,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841,4,Monday,15.0
SpiceJet,Kolkata,Hyderabad,CCU → BLR,19:35,11:30,1h 30m,non-stop,In-flight meal not included,3847,5,Tuesday,21.0
SpiceJet,Kolkata,Banglore,CCU → BLR,22:20,00:40 10 Apr,2h 20m,non-stop,No check-in baggage included,3841,4,Tuesday,9.0
Multiple carriers,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,21:00,9h 25m,3 stops,No info,16294,5,Wednesday,15.0
IndiGo,Delhi,Cochin,DEL → HYD → COK,07:35,12:10,4h 35m,1 stop,No info,5054,6,Thursday,
IndiGo,Kolkata,Cochin,CCU → BLR,09:00,17:45,12h,non-stop,No info,4174,6,Thursday,6.0
IndiGo,Kolkata,Banglore,CCU → BLR,05:50,22:55,17h 25m,non-stop,No info,4804,5,Tuesday,21.0
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,06:30,20:45,14h 15m,1 stop,No info,12681,4,Monday,1.0
Air Asia,Kolkata,Cochin,CCU → DEL → BLR,09:35,10:40 16 May,27h,1 stop,No info,5192,6,Sunday,9.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,07:00,18:50,11h 50m,1 stop,No info,12402,3,Thursday,21.0
IndiGo,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,5780,5,Saturday,18.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,7408,6,Monday,3.0
IndiGo,Delhi,Hyderabad,DEL → BOM → COK,02:35,01:35 04 Mar,1h 30m,1 stop,No info,14871,5,Friday,3.0
IndiGo,Delhi,Cochin,DEL → BOM → COK,10:55,21:00,20h 45m,1 stop,No info,6069,5,Wednesday,15.0
Air India,Delhi,Cochin,DEL → TRV → COK,10:45,06:50 16 May,32h 5m,1 stop,In-flight meal not included,8425,3,Thursday,21.0
Air India,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 16 Jun,27h 20m,1 stop,No info,7480,6,Saturday,
SpiceJet,Banglore,Delhi,BLR → DEL,21:10,00:05 10 Jun,2h 55m,non-stop,No check-in baggage included,3919,6,Sunday,9.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Jun,10h 10m,1 stop,In-flight meal not included,10262,6,Thursday,6.0
Air India,Delhi,Cochin,DEL → JAI → BOM → COK,12:00,07:40 22 May,19h 40m,2 stops,No info,9653,5,Tuesday,21.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,12524,6,Thursday,6.0
Multiple carriers,Delhi,Hyderabad,DEL → IDR → BOM → COK,07:30,01:30 07 Jun,25h 55m,2 stops,No info,15965,3,Tuesday,12.0
Air India,Kolkata,Cochin,CCU → GAU → BLR,05:30,21:05,22h 55m,,No info,8450,5,Monday,6.0
Jet Airways,Banglore,Cochin,BLR → DEL,09:15,18:10,10h,non-stop,No info,8016,6,Monday,24.0
IndiGo,Mumbai,Banglore,BOM → HYD,17:15,21:35,2h 35m,non-stop,No info,2754,5,Monday,27.0
Air Asia,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383,5,Monday,6.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 22 Mar,5h 35m,1 stop,In-flight meal not included,6017,3,Thursday,21.0
IndiGo,Delhi,Kolkata,DEL → BOM → COK,07:05,01:30 16 Jun,2h 15m,1 stop,No info,6316,3,Thursday,21.0
IndiGo,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,1 stop,No info,7054,5,Monday,6.0
IndiGo,Delhi,Banglore,DEL → BOM → COK,08:25,01:35 22 Mar,20h 15m,1 stop,In-flight meal not included,8765,5,Wednesday,1.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,15:05,19:50,13h 20m,1 stop,No info,14781,3,Wednesday,27.0
IndiGo,Chennai,Banglore,MAA → CCU,14:15,10:15,2h 30m,non-stop,No info,6297,3,Wednesday,6.0
Jet Airways,Kolkata,Cochin,CCU → BOM → BLR,07:00,18:15,5h 55m,1 stop,No info,10844,4,Wednesday,3.0
IndiGo,Delhi,Banglore,DEL → BOM → COK,14:05,21:00,6h 40m,1 stop,In-flight meal not included,6526,5,Wednesday,15.0
Multiple carriers,Delhi,Cochin,DEL → HYD → MAA → COK,13:15,21:20,8h 5m,2 stops,No info,11560,3,Saturday,9.0
Vistara,Kolkata,Cochin,CCU → DEL → BLR,13:25,09:05 13 Jun,29h 35m,1 stop,No info,7927,5,Tuesday,21.0
IndiGo,Chennai,Banglore,MAA → CCU,14:05,18:25,28h 10m,non-stop,In-flight meal not included,3540,5,Friday,24.0
IndiGo,Kolkata,Banglore,CCU → BLR,09:35,19:50,14h,non-stop,No info,4804,5,Wednesday,
Vistara,Banglore,Cochin,BLR → DEL,18:00,12:35,7h 30m,non-stop,No info,4878,6,Saturday,15.0
Jet Airways,Banglore,Banglore,BLR → DEL,16:50,22:00,15h 5m,non-stop,No info,4544,5,Thursday,9.0
Jet Airways,Delhi,Cochin,DEL → BOM → COK,09:00,12:35 13 Jun,27h 35m,1 stop,In-flight meal not included,10262,6,Wednesday,12.0
Air India,Delhi,Banglore,DEL → COK,20:00,21:10,16h,non-stop,No info,8456,4,Monday,1.0
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,05:30,01:35 07 Mar,22h 55m,1 stop,No info,16863,6,Saturday,15.0
IndiGo,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No info,4226,5,Saturday,18.0
Air India,Banglore,Cochin,BLR → GAU → DEL,06:40,18:40 02 Mar,12h 35m,1 stop,No info,17198,5,Wednesday,15.0
Air India,Banglore,New Delhi,BLR → DEL,10:30,23:55,12h 25m,non-stop,No info,5911,3,Friday,15.0
Jet Airways,Banglore,New Delhi,BLR → BOM → DEL,14:05,08:15 16 Mar,18h 10m,1 stop,In-flight meal not included,9134,3,Friday,15.0
Jet Airways,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,In-flight meal not included,4995,3,Monday,18.0
IndiGo,Delhi,Hyderabad,DEL → BOM → COK,20:05,21:00,1h 35m,1 stop,No info,7191,5,Sunday,12.0
SpiceJet,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,1965,5,Sunday,12.0
